estacion;latitud;altitud;a�o;mes;dia;precipitacion
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;1;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;2;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;3;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;4;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;5;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;6;11.6
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;7;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;8;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;9;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;10;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;11;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;12;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;13;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;14;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;15;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;16;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;17;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;18;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;19;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;20;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;21;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;22;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;23;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;24;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;25;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;27;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;28;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;29;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;30;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;1;31;3.5
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;1;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;2;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;3;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;4;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;5;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;6;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;7;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;8;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;9;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;10;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;11;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;12;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;13;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;14;2.2
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;15;3.3
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;16;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;17;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;18;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;19;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;20;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;21;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;22;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;23;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;24;0.1
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;25;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;26;18.4
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;27;1.8
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;28;0.6
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;29;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;30;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2016;1;31;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;1;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;2;12.3
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;3;2.4
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;4;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2017;1;5;0.0
